Name,Country,Type,Style,Grape,Short Description,Long Description,Per Bottle Price,Mix Six Price,Percentage of reviewers who would buy again,Number of Reviewers,Awards,Closure,Units,Volume
"Bread & Butter Chardonnay 2017, California",USA,White,Rich White,,OFF DRY,"Complex and layered, with distinctive notes of vanilla bean, almond husk and tropical fruit - it's reminiscent of a decadent crème brûlée! Californian Chardonnay at it's very best. This Chardonnay opens delicately with rich notes of vanilla bean and almond husk, which reminds us of a decadent crème brûlée. The creamy custard notes are balanced by a soft minerality and a hint of worn leather Any seafood dish that features butter or brown butter sauce... baked chicken, creamy pastas or soups, squash and winter vegetables... You're staying for dinner, right?",15.99,10.99,91.0,195,[],Natural Cork,10.1,75.0
"Nero Oro Appassimento 2018, Sicily",Italy,Red,Big Red,,FULL,"Nero Oro is made by a winemaker who's scored a perfect 100 Parker Points. It's little surprise, then, that TV chef James Martin called it ""absolutely fantastic"". It's rich, sweet-spice-packed and luxuriously indulgent. It's an Amarone double without the eye-watering price tag.",9.99,6.99,93.0,320,"['IWC 2019 - Commended Award', 'Decanter 2019 - Bronze Award']",,10.1,75.0
"Jaboulet Viognier 2018, France",France,White,Fruity White,,DRY,"When this was a WIGIG (when it's gone, it's gone!), 4,000 bottles sold out in less than a week. It's since become one of our best-rated Viogniers ever. Brimming with perfumed aromas of peach, pear and citrus all balanced by a salty minerality, it's a Condrieu double at the snip of the price.",11.99,7.99,91.0,54,[],,9.8,75.0
"Dawn Star Sauvignon Blanc 2018, Marlborough",New Zealand,White,Fruity White,,DRY,"New Zealand's vines are the very first to greet the new day's grape-plumping sun. It's this headstart that's the secret to Kiwi Sauvignon's punchy flavour. You'll taste it in Dawn Star's notes of guava, passion fruit and that all-important soaking of gooseberry.",9.99,6.99,92.0,177,[],,9.8,75.0
"Definition Zinfandel 2017, Lodi",USA,Red,Big Red,,FULL,"The Definition range captures the quintessential qualities of the world's greatest wine styles. How do you capture the essence of Zinfandel? We went to the heart of Zin', Lodi, and a three-time 'US Wine Producer of the Year'. We sold 9,000 bottles in the first week. It's big, bold and bursting with ripe blackberries and sweet spices.",9.99,7.99,97.0,306,"['IWC 2019 - Bronze Award', 'IWC 2018 - Commended Award']",,10.9,75.0
"Behind Closed Doors Reserva Lisboa Red 2016, Portugal",Portugal,Red,Smooth Red,,MEDIUM,"An indulgent, rich blend of Portugal's native grapes from one of the country's most awarded wineries. It's big, powerful and bursting with intense flavours of plum, blackberry and vanilla. If you like Porta 6, you'll love this.",10.99,7.99,98.0,313,['IWC 2019 - Bronze Award'],,10.5,75.0
The Guv'nor,Spain,Red,Smooth Red,,FULL,"The Guv'nor is made by our favourite winemakers. We told them to craft a wine they'd drink at home and to forget any rules. It's a limitless wine. The result is a deep, multi-regional Tempranillo that's powerful bramble, blackcurrant and vanilla bouquet means it's a constant sell-out.",8.99,6.99,93.0,830,[],,10.5,75.0
"Château Recougne 2016, Bordeaux Supérieur",France,Red,Big Red,,MEDIUM,"Head off the beaten track in Bordeaux and you'll find delicious reds at a steal. Château Recougne is a prime example of this in action. It's packed with delectable bramble notes, regal spices and integrated tannins. In its prime with beef.",11.99,9.99,86.0,172,['Decanter 2019 - Bronze Award'],Natural Cork,10.5,75.0
Sancerre Rose Les Tuilieres,France,Rose,Rose,Pinot Noir,DRY,Pale pink with aromas of ripe fruit intertwined with soft floral tones. The palate is delicately fruity with flavours of redcurrants and strawberries lifted by zesty notes.,16.99,14.99,100.0,1,[],,9.8,75.0
Mâcon-Fuissé Vieilles Vignes 2016 Christophe Cordier,France,White,Rich White,Chardonnay,DRY,"Taken from vineyards in Macon-Vergisson, La Roche or Saint-Sera (from declassified Pouilly-Fuisse fruit), this wine is a great-value alternative to some of the more expensive Cordier wines, made from the 'Christophe Cordier' negociant arm. A medley of ripe apple and zesty lemon fruit characters creates great depth and intensity, with some body coming from careful use of oak. Slight mineral in the form of slate is detectable on the palate. Excellent as an apéritif or with any kind of salad or white meat, this wine is best enjoyed over the next couple of years.",16.99,14.99,71.0,7,[],Natural Cork,9.8,75.0
Castaway Island Marlborough Sauvignon Blanc 2018,New Zealand,White,Fruity White,Sauvignon Blanc,DRY,"Teeming with gooseberry, fresh-cut grass and citrus, Castaway Island cuts no corners. It's unashamedly Marlborough, showing that you can still sip delicious Kiwi Sauvignon at a pocket-friendly price.",8.99,6.99,93.0,171,['IWC 2019 - Commended Award'],,9.4,75.0
Beefsteak Club Malbec 2017 Mendoza,Argentina,Red,Big Red,Malbec,MEDIUM,"Mendoza's high altitudes and splendid sun make it a haven for bolshy, full-bodied reds with balancing acidity. Mendoza Malbec's popularity is thriving. And its prices are skyrocketing to match. Beefsteak Club is damson-and-mocha-stuffed proof that you can still grab it at a pocket-friendly sum.",9.99,6.99,86.0,334,"['IWC 2019 - Silver Award', 'IWC 2017 - Commended Award']",Screwcap,9.4,75.0
Porta 6 Reserva 2017,Portugal,Red,Smooth Red,,MEDIUM,"How could we make Porta 6, our best-ever-selling, celebrity-chef-backed red, EVEN better? With the help of a Master of Wine, we sourced out some of the best vineyards. We slowly aged this juice in oak barrels. The result: Porta 6 Reserva, a smooth, lavish red. It's the Saturday-night juice ideal for Porta 6 fans.",11.99,9.99,96.0,401,[],Natural Cork,10.5,75.0
La Belle Angele Rose 2018 VdF,France,Rose,Rose,,DRY,"This is proof that tearing up the region-based rule book saves you a packet. Bursting with aromas of stone fruit, raspberry, strawberry and white flowers, you'd be forgiven for being convinced it's Provence pink.",8.99,7.49,96.0,114,[],,9.4,75.0
Porta 6 Vinho Verde 2018,Portugal,White,Crisp White,,DRY,"Following the best-selling, celebrity-chef-backed Porta 6, this Vinho Verde triumphantly entered our exclusive range. Made on the cusp of the Atlantic by a first-class Portuguese winery, Vidigal, cool-ocean breezes gift a fresh, fruity flavour to this juice - it's your perfect refresher. Green fruits dominate.",8.99,7.99,91.0,222,"['IWC 2019 - Commended Award', 'IWC 2018 - Commended Award', 'award']",Screwcap,7.1,75.0
Floração Rosé,Portugal,Rose,Rose,,DRY,"'Floração' is the Portuguese word for blossoming; a nod to the beautiful Jacaranda trees that blossom along the streets of Lisbon at the start of summer. Loaded with thirst-quenching flavours of wild strawberry, raspberry and redcurrant, this is a real treat. With a refreshingly dry finish and crisp acidity, Floração is the perfect Rosé for long summer days.",7.99,6.99,95.0,19,[],,9.4,75.0
Las Maletas Malbec 2018/19 Mendoza,Argentina,Red,Big Red,,FULL,"Mendoza Malbec prices are booming with its worldwide popularity. So spanned the lofty-region to bring your black-fruit flavour at a bargain. It's chock full with complexity, soothing vanilla notes and balancing acidity.",8.99,6.99,92.0,280,[],Natural Cork,9.4,75.0
Pinot Grigio Superiore 2018 Breganze,Italy,White,Crisp White,Pinot Grigio,DRY,"Breganze is nestled in the north of Italy. Laying in the shadows of the Alps, the grapes here ripen delicately over a generously long period. It's the ideal spot to craft the subtle Pinot Grigio in. With crisp apple, pear, citrus and a zippy acidity, it's no surprise this was the top Pinot Grigio of 2018.",8.99,7.99,87.0,183,[],Screwcap,9.4,75.0
Definition Albarino 2018,Spain,White,Crisp White,,DRY,The Definition range captures the quintessential qualities of the world's greatest wine styles. So when we wanted to find a stellar Albariño bursting with fresh fruit and a whiff of sea air - we approached a Majestic icon. The producer's other Albariños already have sky-high 'Buy It Again' ratings - but this is sublime.,11.99,9.99,95.0,74,['IWC 2018 - Silver Award'],,9.4,75.0
Rioja Gran Reserva 2011 Viña Alarde,Spain,Red,Smooth Red,,MEDIUM,"Founded in 1877 the Bodega in Cenicero in the Rioja Alta is now a modern winery, with cellaring facilities housing over 50,000 barrels, and this is where Berberana Gran Reserva is matured for a minimum 3 years in American oak cask and a further 3 years in bottle. Ruby red colour with tawny hues. Subtle aromas of ripe dark cherries and strawberries. Smooth and full-bodied palate, with luscious fruit laced with vanilla, cloves and dried fruits. Roast meats, pastas, tomato dishes, barbecues and game.",11.99,8.99,88.0,294,[],Natural Cork,10.1,75.0
Catena Malbec 2017 Mendoza,Argentina,Red,Big Red,Malbec,FULL,"Nicolás and Laura Catena have worked tirelessly in the discovery, identification and development of key microclimates in the high altitude wine country of Mendoza. Their Malbec uses this work and combines grapes from various altitudes to create a unique profile of aromas. Elegantly structured, and showing ripe blackberry and blackcurrant fruit flavours and plenty of peppery spice. The finish has distinct chocolate notes and crisp, refreshing acidity. The complex character, tannins and acidity help suit this wine to further ageing and it will comfortably last five years.",13.99,11.99,94.0,266,"['IWC 2018 - Bronze Award', 'Decanter 2017 - Silver Award']",Natural Cork,9.8,75.0
Rioja Blanco 2018 López de Haro,Spain,White,Rich White,,DRY,"Old vines craft the most flavourful grapes, and Lopez de Haro's are up to 80 years old. After a vigorous selection process, only the finest berries are squeezed. The juice is aged in oak for a generous three months. The result's brimming with ripe yellow fruits and a dusting with almonds.",9.99,7.99,92.0,157,['IWC 2018 - Commended Award'],Natural Cork,9.4,75.0
Rioja Crianza 2016 CVNE,Spain,Red,Smooth Red,,MEDIUM,"Founded in 1879 by two brothers, Eusebio and Raimundo Real de Asúa, CVNE has remained in family hands, now in their fifth generation. CVNE has long been an innovator, embracing estate bottling and the extensive use of stainless steel. A lively cherry-red appearance leading to a nose of light summer fruits. This wine has undergone a period of one year in oak giving beautiful hints of vanilla amongst fruity cherry notes. A real treat, with a long and elegant finish. Partner with dry cured ham or roasted stuffed peppers.",9.99,8.49,91.0,170,['IWC 2018 - Bronze Award'],Screwcap,10.1,75.0
"Rioja Reserva 2015, Dehesa de Lantana",Spain,Red,Smooth Red,,MEDIUM,"Reservas are only made in the best vintages and a greater ageing period make them the perfect balance between rich Fruit and toasty oak. The Lantana is taken from a vintage officially rated as ""Very Good' by The Denominación de Origen Calificada Rioja. The result is a Reserva that shows notes of oak, smoke and ripe black fruit with leather hints.",9.99,8.99,100.0,4,[],,10.5,75.0
"Rioja Crianza 2016, Dehesa de Lantana",Spain,Red,Smooth Red,,LIGHT,"Just a short period in oak means this Crianza's all about the fruit. Aromas of raspberry, blueberry and oak meet mild hints of spice and toast. It's an elegant, full-bodied red with a luxuriously long finish.",8.99,7.99,100.0,4,[],,10.5,75.0
"Valsordo Old Vines Garnacha 2018, Cebreros",Spain,Red,Fruity Red,,MEDIUM,"This rare red hails from the village of Cebreros located at the heart of this mountain range. Making wine there is tough. The region is sparsely populated and winemakers toil on remote mountain slopes. However, the quality of Garnach has finally won through with Cebreros winning coveted DO status in 2017!",13.99,9.99,100.0,4,[],,10.9,75.0
Winemaker Series Godello,Spain,White,Crisp White,,DRY,"Godello has been one of the great success stories of the past few years and this wonderful example from Katia Alvarez shows why - crisp, fresh and packed with delicious apple, citrus and mineral flavours.",11.99,9.99,100.0,2,[],,9.8,75.0
Rioja Reserva Marqués de Riscal 2015,Spain,Red,Smooth Red,,FULL,"Marqués de Riscal is one of Rioja's oldest wineries. It's only with almost two centuries of experience that you can craft a summer-fruit-and-vanilla-packed red this delectable. It's the silky, elegant and jammy red to bring comfort to your table with each sip.",16.99,12.99,95.0,331,[],Natural Cork,10.5,75.0
Jas de Vignes IGP Mediterranee Rosé 2018,France,Rose,Rose,,DRY,"The prices of Provence pink are skyrocketing with demand. But you just need to head slightly off the beaten track to find a rosé double at a snip of the usual asking price. This is pumping with refreshing notes of watermelon, peach and ripe strawberry. It's proof that French pink still exists at a snip.",9.99,7.99,95.0,129,[],Screwcap,9.8,75.0
The Ned Waihopai River Sauvignon Blanc 2018 Marlborough,New Zealand,White,Fruity White,,DRY,"It's our best-ever-selling white for good reason. Award-winning winemaker Brent Marris' vines thrive in Marlborough's stony soils. This Sauvignon nirvana creates a clean, mineral style, and you'll struggle to beat it for lip-smacking refreshment. Alive with notes of gooseberry, fresh-cut grass and nettle, the Ned is Kiwi Sauvignon at its best.",10.99,8.99,95.0,"1,565","['IWC 2019 - Commended Award', 'IWC 2018 - Bronze Award', 'Decanter 2018 - Silver Award']",Screwcap,9.8,75.0
Grand Ardèche Chardonnay 2017 Louis Latour,France,White,Rich White,,DRY,"Louis Latour is a Burgundian king. Its cabinet is bursting with awards. But it also makes fantastic value whites outside the region. You just need to head slightly north the Rhône to the Ardèche Valley to save a packet. This is packed with ripe apple, peach and buttery vanilla notes. It's Beaune-style quality at a fraction of the usual asking fee.",13.99,9.99,92.0,114,[],Natural Cork,10.1,75.0
Oyster Bay Sauvignon Blanc 2018 Marlborough,New Zealand,White,Fruity White,Sauvignon Blanc,DRY,"Oyster Bay is largely responsible for the Kiwi Sauvignon boom. Its very first vintage won 'Best Sauvignon Blanc' at the London Wine & Spirit Competition. So it's little wonder that its quintessential notes of gooseberry, tropical fruit and herbs have seen it fill Majestic customers' baskets time and again for years.",10.49,8.99,97.0,545,"['IWC 2019 - Commended Award', 'IWC 2018 - Bronze Award', 'IWC 2017 - Commended Award']",Screwcap,9.4,75.0
Mâcon-Villages Blanc 'Les Pierres Blanches' 2017 Cave de Lugny,France,White,Crisp White,,DRY,"This is sippable proof that you can still grab delicious white Burgundy at a pocket-friendly sum. You can thank the lack of oak for its oodles of ripe, peach and melon as you sip this refresher through great times.",11.49,8.99,93.0,318,"['IWC 2018 - Commended Award', 'Decanter 2018 - Bronze Award', 'IWC 2017 - Commended Award']",Screwcap,9.4,75.0
"Trementi Rosso Appassimento 2016, Veneto",Italy,Red,Big Red,,MEDIUM,"On the hunt for another parcel, we went to Verona and visited three friends creating some of the region's most exciting wines. Enrico, Alessandro and Giuseppe have crafted this velvet-like red from a blend of Corvina and Merlot. By drying the grapes, they intensified the flavour and dialled up the plush, mouth-filling texture. Lap up the Trementi's luxurious dark plum, chocolate and damson notes with hearty seasonal dishes.",11.99,9.99,100.0,4,[],,10.9,75.0
Porta 6 2017 Lisboa,Portugal,Red,Smooth Red,,FULL,"Celebrity chef James Martin called Porta 6 'one of the nicest reds [he'd] tasted in 10 years on this show'. Following demand broke our website. We sold tens of thousands more than we had in the warehouse (sorry about that!). Chock-full of warm, jammy forest-fruit flavours, it's since become our best-ever-selling red.",8.99,7.99,96.0,"1,601","['IWC 2019 - Commended Award', 'IWC 2018 - Commended Award']",Natural Cork,10.1,75.0
"Nero Oro Riserva 2016, Sicily",Italy,Red,Big Red,,MEDIUM,"Few thought it possible to make Nero Oro even better. But the same 100-Parker-Point-scoring producer has done it. This time aged for a huge 18 months, the Nero Oro Riserva is stuffed with damson, blackcurrant, candied fig and a toasted oakiness.",14.99,11.99,96.0,101,"['IWC 2019 - Silver Award', 'Decanter 2019 - Silver Award']",Natural Cork,10.5,75.0
Montagny 1er Cru 'Les Millières' 2018 Cave des Vignerons de Buxy,France,White,Crisp White,Chardonnay,DRY,"A Premier Cru from the Montagny appellation in Burgundy's Côte Chalonnaise. Cave des Vignerons de Buxy is an excellent, quality-conscious producer and, being a co-operative, offers excellent value for money. A delicious, fresh Chardonnay which has been fermented and matured in stainless steel tanks to preserve the pure peach, pear and acacia aromas. Soft and rich on the palate. Enjoy with cold cuts of ham, this is a genuine bargain not to be missed.",13.99,10.99,94.0,241,[],Natural Cork,10.5,75.0
Côtes du Rhône 2015 E. Guigal,France,Red,Smooth Red,,MEDIUM,"Wine Advocate's Jeb Dunnuck called the Guigal winery's produce ""impeccable"". You'll find buckets of Côtes du Rhône Grenache, Syrah and Mourvèdre blends in the wine world. This red-fruit-stuffed gem stands head and shoulders above the rest.",13.99,11.99,94.0,244,[],Natural Cork,10.5,75.0
Mollydooker The Boxer Shiraz 2017 South Australia,Australia,Red,Big Red,Shiraz,FULL,"The Boxer Shiraz is perhaps the lightest and most accessible of Mollydooker's reds, although by any other standards it is still a hugely full-bodied and voluptuous wine. Made from the fruit of Mollydooker's own vineyards, aged in a mixture of new and old American oak, this wine offers a swathe of lush, velvety berry fruit, and layer upon layer of sweet spice, vanilla and dense, polished tannins.",28.0,25.2,100.0,21,[],Screwcap,12.0,75.0
Mâcon-Lugny 2017 Louis Latour,France,White,Crisp White,Chardonnay,DRY,"The family-run négociant house of Maison Louis Latour has been producing and selling wines since 1797. The limestone-rich soils of the Lugny village produce rich, buttery yet still Burgundian styles of Chardonnay with the typicity and style of the Mâcon. Pale gold in colour, with a beguiling aroma of fresh apples, lemon curd and toasted citrus fruits atop a palate of fresh and crisp green-apple acidity, buttery and peachy fruit and a long, warming finish. Perfectly acceptable on its own as an afternoon apéritif or with poultry, pork or fresh seafood.",13.99,11.99,95.0,379,[],Natural Cork,10.1,75.0
"The Scribbler 2014, Yalumba",Australia,Red,Big Red,,FULL,"Named as an alternative to its own 'Signature' blend, The Scribbler is Yalumba's more youthful take on Australia's classic Cabernet-Shiraz combination, made with a view to early enjoyment. Dense and vibrant purple in colour, with a nose of concentrated dark fruits, liquorice and black olive. The palate is lush and full, with a generous sweetness of fruit and plump, rounded tannins. Yalumba recommends serving with a game pie with a truffled parmesan and parsnip mash.",14.99,9.99,100.0,12,[],Screwcap,10.5,75.0
Villemarin Picpoul de Pinet 2018 Côteaux du Languedoc,France,White,Fruity White,,DRY,"Picpoul's zestiness and lip-smacking nature have thrust it into the wine-world spotlight. Kissed by Mediterranean breezes, the Villemarin's grapes lock in every bit lemon-peel flavour and snappy acidity. Majestic customers can't get enough, and it's one of our highest rated wines.",9.99,8.49,94.0,332,['IWC 2017 - Bronze Award'],Screwcap,9.4,75.0
